-481,-55,1
-477,-64,1
-473,-73,1
-469,-82,1
-465,-91,1
-461,-100,0
-457,-108,0
-453,-115,0
-449,-121,0
-445,-126,0
-441,-130,0
-437,-133,0
-433,-135,0
-429,-136,0
-425,-136,0
-421,-135,0
-417,-133,0
-413,-130,0
-409,-126,0
-405,-121,0
-401,-115,0
-397,-108,0
-393,-100,0
-389,-91,1
-385,-100,0
-381,-108,0
-377,-115,0
-373,-121,0
-369,-126,0
-365,-130,0
-361,-133,0
-357,-135,0
-353,-136,0
-349,-136,0
-345,-135,0
-341,-133,0
-337,-130,0
-333,-126,0
-329,-121,0
-325,-115,0
-321,-108,0
-317,-100,0
-313,-91,1
-309,-100,0
-305,-108,0
-301,-115,0
-297,-121,0
-293,-126,0
-289,-130,0
-285,-133,0
-281,-135,0
-277,-136,0
-273,-136,0
-269,-135,0
-265,-133,0
-261,-130,0
-257,-126,0
-253,-121,0
-249,-115,0
-245,-108,0
-241,-100,0
-237,-91,1
-233,-100,0
-229,-108,0
-225,-115,0
-221,-121,0
-217,-126,0
-213,-130,0
-209,-133,0
-205,-135,0
-201,-136,0
-197,-136,0
-193,-135,0
-189,-133,0
-185,-130,0
-181,-126,0
-177,-121,0
-173,-115,0
-169,-108,0
-165,-100,0
-161,-91,1
-157,-100,0
-153,-108,0
-149,-115,0
-145,-121,0
-141,-126,0
-137,-130,0
-133,-133,0
-129,-135,0
-125,-136,0
-121,-136,0
-117,-135,0
-113,-133,0
-109,-130,0
-105,-126,0
-101,-121,0
-97,-115,0
-93,-108,0
-89,-100,0
-85,-91,1
-81,-100,0
-77,-108,0
-73,-115,0
-69,-121,0
-65,-126,0
-61,-130,0
-57,-133,0
-53,-135,0
-49,-136,0
-45,-136,0
-41,-135,0
-37,-133,0
-33,-130,0
-29,-126,0
-25,-121,0
-21,-115,0
-17,-108,0
-13,-100,0
-9,-91,1
-5,-100,0
-1,-108,0
3,-115,0
7,-121,0
11,-126,0
15,-130,0
19,-133,0
23,-135,0
27,-136,0
31,-136,0
35,-135,0
39,-133,0
43,-130,0
47,-126,0
51,-121,0
55,-115,0
59,-108,0
-81.0,-165,0
-77.0,-156,0
-73.0,-146,0
-69.0,-136,0
-65.0,-126,0
-61.0,-116,0
-57.0,-106,0
-53.0,-96,1
